policyId,PolicyDurationMonths,PremiumAmount,CoverageAmount,PreviousClaimsTotal,ClaimFrequencyLastYear
129,33,4483.89,110667.32,3,1
130,12,2277.92,102592.44,3,3
131,14,4074.86,125302.02,3,2
132,13,2329.77,110400.51,7,6
133,17,1933.72,71490.85,5,4
134,39,1701.47,43353.69,4,1
135,38,3207.78,77589.69,2,1
136,53,3312.4,123533.32,4,3
137,60,2479.83,106276.73,6,2
138,28,2906.84,126288.04,2,1
139,29,978.22,27657.04,4,2
140,42,760.98,19882.33,2,0
141,40,2997.06,61447.82,2,2
142,49,1898.55,76655.84,5,4
143,45,2599.44,57959.88,6,3
144,27,1426.17,46525.7,5,2
145,32,3325.59,126540.28,2,1
146,40,767.67,36934.88,2,1
147,6,891.53,26170.09,0,0
148,40,3155.45,86753.29,0,0
149,42,300.0,11887.44,5,3
150,52,2302.86,88837.63,8,0
151,19,1914.14,57353.91,5,3
152,8,1411.24,67517.96,6,2
153,6,1840.05,83438.58,2,0
154,10,1321.98,35322.65,6,4
155,31,3233.8,87876.3,3,0
156,60,3443.6,121796.64,5,2
157,19,1451.41,62711.31,4,2
158,44,2220.42,47342.04,6,3
159,32,939.94,38349.56,6,5
160,14,2858.44,112757.17,7,1
161,20,2837.61,76457.64,2,0
162,20,1763.79,71328.72,6,2
163,31,2013.51,97062.15,4,1
164,47,1924.99,41201.62,4,3
165,18,705.23,20867.56,6,5
166,56,3236.8,107284.82,2,2
167,37,1386.44,65131.79,1,1
168,44,1391.88,68018.2,5,2
169,54,1879.66,62636.91,3,1
170,57,2796.44,118851.04,5,1
171,37,1526.96,54893.86,6,1
172,9,438.25,15835.57,5,3
173,35,1290.4,36573.83,2,2
174,42,2339.31,62012.1,9,1
175,28,3751.8,107452.16,8,0
176,44,992.06,36398.67,5,1
177,50,962.8,20098.09,1,1
178,20,789.92,37298.19,2,0
179,48,690.62,17050.38,3,2
180,34,2964.55,78865.0,1,1
181,41,3195.75,113603.46,2,1
182,18,2142.2,88480.43,4,2
183,37,1625.83,37185.77,4,2
184,12,3432.92,101376.87,4,3
185,56,2139.13,104946.05,4,4
186,27,2871.55,80030.91,1,1
187,33,1586.84,46639.64,6,2
188,7,2035.4,91786.05,1,0
189,47,1010.13,21724.22,3,2
190,50,2503.4,84961.35,4,2
191,58,2152.75,67571.61,3,2
192,11,1284.35,37885.23,4,2
193,33,1295.11,37002.69,1,0
194,33,3292.77,74881.54,5,3
195,49,3577.34,105333.82,6,2
196,49,1829.49,38952.76,5,2
197,25,2054.2,89211.8,4,3
198,35,2320.09,74119.58,3,1
199,16,2118.43,70579.82,2,0
200,60,660.56,30919.47,3,3
201,33,2342.3,93086.73,5,0
202,30,329.69,10000.0,4,1
203,44,1413.85,68282.36,8,5
204,38,2404.34,65192.12,5,1
205,6,2480.0,57606.39,6,1
206,32,1351.94,58192.76,6,5
207,57,1633.25,57187.15,7,5
208,18,1524.93,50342.72,6,4
209,46,1917.72,52708.84,3,2
210,8,1978.56,72067.52,4,0
211,44,2534.77,71560.58,1,1
212,11,1586.48,74640.02,10,5
213,13,2298.72,60815.16,3,3
214,32,2405.61,111934.73,1,0
215,14,2158.63,79399.14,3,1
216,42,1792.32,80393.67,2,1
217,38,2144.52,88751.62,2,2
218,56,2601.39,106399.16,4,4
219,47,2671.35,79420.17,2,2
220,49,3452.3,93270.42,2,1
221,29,1207.98,31801.96,4,1
222,20,1647.99,75339.29,8,3
223,59,709.23,31640.52,3,2
224,37,2744.81,91174.84,3,3
225,37,1732.39,41529.19,2,2
226,29,2164.95,68125.8,4,1
227,46,1516.53,58508.15,3,0
228,57,1738.64,58474.0,7,4
229,54,2978.55,129286.07,6,5
230,54,2555.39,127587.1,3,3
231,57,1910.78,49172.0,1,0
232,17,2614.25,88334.3,7,1
233,44,2631.92,86667.86,6,4
234,7,1686.86,49146.28,6,3
235,8,824.74,21396.02,3,2
236,54,1280.67,28137.31,4,2
237,42,927.58,43237.69,2,2
238,54,2931.55,95555.15,9,4
239,22,3070.49,107181.26,2,1
240,54,3269.1,155309.21,3,0
241,7,384.36,16638.26,3,1
242,7,2857.12,68328.15,7,5
243,33,3769.75,139339.87,5,4
244,59,2889.59,96129.64,3,1
245,28,300.0,13174.9,4,4
246,42,3414.64,142482.55,7,5
247,37,2033.35,82782.14,1,0
248,38,1814.08,54814.89,1,1
249,6,2360.88,104230.12,8,2
250,24,1160.79,25040.36,3,1
251,7,2002.23,49632.67,8,4
252,58,3296.34,99116.76,2,2
253,49,2497.92,55714.11,3,2
254,31,2046.72,55363.46,4,3
255,37,2071.69,93028.11,3,1
256,11,1054.88,51106.58,2,1
257,37,1880.01,54779.86,1,0
258,60,692.56,19347.1,5,4
259,9,2817.95,80020.78,4,2
260,60,300.0,10000.0,4,1
261,16,2683.92,56571.42,5,2
262,22,2783.53,133073.52,1,1
263,43,3055.01,80685.74,8,1
264,29,2069.49,67465.54,2,0
265,10,2733.3,55460.37,2,0
266,57,1872.2,85632.03,4,2
267,39,1050.64,44058.39,4,2
268,11,3224.59,156078.6,7,7
269,27,1922.49,83529.3,6,3
270,16,872.39,25658.06,3,3
271,53,1626.55,44626.3,6,5
272,21,1658.14,67870.15,7,3
273,38,2369.36,73268.55,3,1
274,14,3877.64,143420.07,5,2
275,11,2417.93,48812.6,3,0
276,21,2165.48,47329.86,5,2
277,34,3964.62,142968.35,4,3
278,8,2783.11,102925.57,6,5
279,25,2203.4,93740.52,4,2
280,41,1616.47,38728.95,2,1
281,24,2252.96,79744.63,5,3
282,31,1946.89,50294.79,4,0
283,8,2073.15,47259.22,8,3
284,24,3051.52,98609.55,4,3
285,25,1567.74,39036.94,8,5
286,37,2410.83,64257.03,3,2
287,12,2759.15,81468.48,2,0
288,57,1470.31,40847.64,5,1
289,46,1341.9,30364.23,5,3
290,38,1879.73,42665.07,5,4
291,45,1630.7,42067.86,7,4
292,44,2921.87,62869.14,6,3
293,23,1198.59,46497.57,4,1
294,45,2054.78,58807.31,4,0
295,6,4036.84,114615.45,4,2
296,16,2330.45,69820.02,6,3
297,33,2463.43,98251.25,3,2
298,30,2928.55,135061.66,2,1
299,55,1629.64,69703.98,4,3
300,28,1134.86,47466.69,2,1
301,36,2141.21,73939.66,6,3
302,35,2212.32,90294.12,7,3
303,47,705.43,25806.7,6,4
304,40,2300.06,60922.81,4,2
305,12,2855.88,74988.71,5,1
306,21,1269.64,36682.18,5,3
307,31,2348.44,111137.98,3,1
308,53,2713.81,98843.63,7,5
309,57,2469.34,103754.76,3,2
310,54,2544.8,77353.83,8,3
311,7,1804.16,58150.73,5,0
312,6,1098.0,26096.05,1,1
313,53,1642.28,41285.1,4,4
314,17,1531.15,68627.4,3,1
315,10,1935.79,72679.65,6,5
316,42,2874.62,86600.63,2,0
317,37,950.53,41904.53,3,2
318,60,2115.4,57952.65,7,4
319,14,1149.28,56637.58,4,2
320,46,1407.96,42723.96,2,2
321,40,2446.99,73701.77,4,2
322,24,1048.04,30767.8,3,1
323,53,2587.4,61226.43,2,2
324,21,918.27,21426.98,1,1
325,8,2533.58,99932.55,2,2
326,25,760.37,35170.04,7,2
327,29,1505.75,65824.78,3,0
328,59,3517.2,85233.0,5,3
329,38,3366.84,122443.33,4,2
330,29,1669.98,38689.68,1,0
331,57,2311.97,49380.96,6,3
332,16,2963.25,117616.24,3,2
333,54,2545.04,91760.21,6,4
334,13,1781.23,40007.66,0,0
335,41,1401.09,29490.43,5,3
336,43,2694.48,133896.09,6,2
337,45,2904.56,60707.22,5,2
338,25,3372.56,112427.2,4,3
339,40,650.2,22847.11,3,2
340,53,997.5,23459.61,3,2
341,30,2929.54,73448.97,2,1
342,40,758.78,23183.74,1,0
343,30,2990.84,128158.32,3,1
344,34,1828.05,64370.3,4,3
345,23,1583.27,61964.49,3,1
346,51,2164.34,107254.52,4,2
347,23,923.71,39756.42,2,0
348,7,2659.21,87836.01,1,0
349,59,3351.71,111924.5,3,1
350,40,2696.46,103984.06,1,1
351,21,1802.79,72041.33,4,4
352,46,769.57,26951.41,4,2
353,41,800.33,31489.65,4,3
354,38,936.29,19386.7,1,0
355,9,1990.18,65454.32,8,1
356,38,2090.72,59309.84,2,2
357,19,2694.75,64337.9,2,2
358,26,563.18,12945.4,9,6
359,53,3048.97,116152.78,4,3
360,25,2555.53,91252.73,3,2
361,13,1738.53,47996.53,2,2
362,12,1048.19,35773.18,9,2
363,8,2999.31,104277.01,5,2
364,22,1759.92,45494.53,6,4
365,38,1983.98,78491.98,3,1
366,53,2306.89,100182.63,3,2
367,17,1269.44,55530.3,5,2
368,56,1774.26,67553.17,1,0
369,27,2692.25,95168.89,4,2
370,60,2611.28,57004.73,4,3
371,27,2618.49,74980.18,6,5
372,51,1075.86,24527.52,1,1
373,35,1810.74,88571.59,3,0
374,43,1682.88,40477.43,5,2
375,43,2340.14,57458.15,4,2
376,50,2268.53,105911.37,2,0
377,56,2124.34,102643.63,3,2
378,59,3972.59,170721.42,9,6
379,13,1767.36,35633.68,1,0
380,32,1673.74,33542.43,1,0
381,32,1074.6,33681.22,6,3
382,39,769.72,18705.68,10,7
383,26,1023.75,21039.6,3,1
384,35,1425.05,48340.7,3,1
385,38,3048.06,147196.4,6,3
386,33,2031.33,60360.17,3,2
387,52,2154.66,85829.38,2,1
388,38,1922.98,76086.72,3,2
389,10,2292.24,63110.9,7,4
390,53,3121.66,123345.3,6,2
391,24,404.86,10676.04,8,3
392,9,2974.67,70381.35,4,2
393,40,300.0,12312.45,6,4
394,54,2022.56,47334.48,4,3
395,22,3753.53,187328.25,4,2
396,49,2544.53,64894.51,6,1
397,33,2298.45,86937.05,4,1
398,35,3601.56,116478.8,4,2
399,34,1437.55,34201.6,3,2
400,51,2347.17,48904.11,7,2
401,58,2462.49,95254.1,2,0
402,11,1582.08,69932.17,2,0
403,40,1652.71,74802.52,3,2
404,46,1564.98,53962.59,2,1
405,42,2069.85,89673.57,4,4
406,29,2437.35,97946.05,6,3
407,34,2098.58,87568.96,3,0
408,54,2567.57,89294.85,5,4
409,51,424.68,16563.6,5,3
410,58,1825.4,80620.17,6,2
411,36,1181.26,37725.49,3,1
412,40,2241.38,99022.66,1,0
413,38,2229.53,84188.33,7,4
414,57,1907.5,47643.74,7,1
415,26,2408.22,49947.81,4,2
416,37,2798.25,86417.26,4,4
417,28,1951.58,71039.38,6,3
418,38,1158.64,52364.47,2,1
419,8,734.99,17510.91,1,0
420,23,2028.89,89283.64,2,1
421,30,2193.49,100660.01,8,3
422,47,1224.38,30022.58,2,2
423,36,2580.61,117541.34,3,0
424,59,1632.83,81223.08,3,2
425,8,674.85,28212.37,3,3
426,45,3005.15,130853.48,3,1
427,51,2915.19,145271.1,3,3
428,29,387.52,14789.5,4,1
429,55,1549.92,45314.37,5,4
430,37,1518.73,68534.23,5,4
431,52,3311.59,127279.58,1,0
432,27,1920.57,71898.04,4,0
433,28,803.3,22178.29,4,3
434,7,2705.68,115505.72,3,1
435,32,1015.38,22795.29,2,1
436,47,1791.73,85516.67,5,3
437,7,1384.18,41213.7,2,2
438,31,1551.64,36980.51,2,0
439,22,2749.81,91488.8,6,4
440,45,3217.06,68440.14,3,1
441,38,980.51,39748.48,4,3
442,14,2500.86,117743.46,4,2
443,48,1413.8,63787.54,2,2
444,59,1438.66,34270.5,5,1
445,53,2392.51,56913.32,3,1
446,44,1177.68,52292.47,7,2
447,34,2376.48,113423.85,3,1
448,47,2584.09,87394.19,4,1
449,60,1653.97,57838.04,2,0
450,31,3061.66,90465.58,4,1
451,40,981.74,45972.89,4,3
452,55,3076.32,121044.43,4,3
453,30,444.81,12742.72,4,2
454,29,4159.77,120481.48,1,0
455,18,1675.04,78284.59,4,2
456,12,1070.15,21840.8,7,4
457,41,1813.86,53838.7,5,3
458,50,1162.82,42594.82,2,0
459,25,2309.57,56461.01,2,1
460,6,3094.13,70431.47,5,3
461,13,1205.24,53582.69,3,2
462,51,2463.52,115371.86,3,1
463,21,773.81,34595.72,5,3
464,19,2826.36,132736.32,3,2
465,17,2332.99,85371.91,4,1
466,56,2860.95,126933.75,2,2
467,28,1902.12,59957.33,3,1
468,20,1651.87,66055.23,5,2
469,33,2652.89,131756.15,2,0
470,39,953.56,25528.58,5,3
471,7,605.74,19200.15,6,3
472,37,1996.03,68666.28,3,1
473,28,1688.32,40756.89,4,2
474,27,2443.07,54800.82,6,2
475,56,2873.24,128984.64,3,0
476,30,2426.41,119631.37,6,4
477,27,2809.52,90302.98,5,1
478,27,2256.84,51071.19,6,4
479,54,2395.68,52643.44,3,3
480,57,1906.67,89117.09,5,4
481,47,2372.04,80446.26,4,1
482,11,2133.32,63148.09,4,1
483,20,2260.14,77508.92,5,2
484,59,1866.62,55157.01,2,0
485,48,2647.14,91779.3,5,1
486,42,1431.64,65549.97,6,4
487,38,1985.32,74983.66,3,1
488,13,3049.43,124537.42,3,1
489,58,1241.02,38397.39,9,5
490,49,300.0,12646.55,7,3
491,49,2293.17,91723.22,5,4
492,10,1794.44,42325.12,4,4
493,44,2808.69,104425.08,4,2
494,9,1895.59,52512.15,4,2
495,11,1516.53,66913.6,4,2
496,50,1939.35,63568.14,5,2
497,37,2874.45,143264.34,7,3
498,57,2460.3,56033.27,3,1
499,35,300.0,13023.13,7,4
500,52,2148.61,86398.03,6,2
501,40,2188.61,94164.86,3,3
502,60,1985.4,58025.09,5,2
503,45,1511.29,52534.84,3,2
504,57,2955.63,129737.94,3,1
505,21,2995.23,80799.97,3,1
506,18,300.0,10000.0,4,1
507,55,1361.63,49742.51,6,4
508,47,1884.22,67279.51,2,1
509,35,2758.81,78537.36,4,2
510,24,2027.88,58691.52,3,1
511,22,1453.12,41174.81,2,2
512,24,2567.63,110781.19,4,3
513,33,1830.93,72426.19,5,2
514,60,1906.08,85721.18,3,2
515,31,1978.27,97458.03,1,0
516,42,2459.45,84174.39,1,0
517,31,1753.16,38570.96,2,0
518,58,2549.56,54669.57,5,3
519,28,1941.54,56052.3,5,3
520,14,1146.39,54999.44,4,2
521,17,1970.58,70342.56,3,0
522,58,1187.83,33441.66,4,3
523,6,2032.79,64998.45,3,1
524,6,2663.58,101103.75,1,1
525,52,1141.1,45174.3,4,2
526,39,2291.42,56409.2,8,3
527,37,1336.77,65917.4,3,2
528,59,2161.36,78550.68,2,2
529,53,2688.16,64705.84,4,3
530,30,300.0,14042.72,7,6
531,45,1108.42,24650.31,4,2
532,50,1704.82,80522.0,5,0
533,58,2252.03,112369.59,7,3
534,6,1866.89,76566.81,2,0
535,21,1963.3,84644.37,3,1
536,44,3634.39,109464.43,2,0
537,10,1030.03,49696.37,10,5
538,27,2908.39,104386.17,0,0
539,34,1720.02,72191.98,11,7
540,60,2439.58,116424.63,6,2
541,8,3703.16,182400.49,6,4
542,17,2550.94,114782.54,5,4
543,31,2298.0,66849.93,2,1
544,21,3279.3,160673.87,3,2
545,56,2899.84,112640.14,2,1
546,42,1360.48,65193.44,3,2
547,27,2235.62,90057.81,3,0
548,34,626.0,18290.05,6,3
549,19,1567.88,48762.14,4,2
550,33,2251.24,82202.21,6,2
551,10,1518.32,66351.07,6,3
552,52,2218.69,65539.04,2,0
553,54,1989.29,74383.49,3,2
554,35,2429.13,73769.74,4,0
555,51,1660.64,73853.81,1,0
556,57,1247.88,42430.25,8,4
557,10,3182.5,70975.14,1,1
558,17,1603.44,40056.52,4,2
559,21,2528.01,55194.36,2,0
560,31,3148.2,110121.08,2,0
561,31,2130.14,49398.11,7,4
562,53,1314.95,30801.76,4,0
563,26,1857.11,89571.2,5,2
564,44,2814.03,129951.05,5,1
565,41,2165.0,72662.96,2,2
566,38,1035.89,51353.21,6,2
567,35,2477.32,49560.16,5,2
568,42,2615.63,100490.71,7,2
569,28,1715.75,66044.12,4,2
570,15,2488.2,83910.14,4,1
571,59,2196.01,70071.41,6,1
572,10,1842.06,62006.37,3,1
573,41,965.17,31318.67,5,5
574,39,2862.36,119975.3,6,3
575,57,2607.37,62735.02,3,2
576,36,2467.11,63970.11,4,1
577,15,3235.62,82235.07,4,3
578,24,2756.15,76825.39,2,0
579,37,2549.25,91155.55,4,2
580,6,300.0,10000.0,2,1
581,10,2957.52,136179.06,5,3
582,50,2066.46,59763.9,4,1
583,9,2249.99,55971.15,1,0
584,21,2255.47,90824.57,7,2
585,29,2619.07,55373.84,3,3
586,21,2897.74,111850.03,2,1
587,60,2507.39,102667.59,3,2
588,7,2380.23,62951.08,4,1
589,54,2185.21,46455.21,4,3
590,33,300.0,10000.0,2,2
591,37,1769.93,40633.68,3,1
592,32,1246.73,29291.05,5,4
593,25,2968.59,82015.77,0,0
594,29,2495.23,72022.41,9,7
595,17,1633.49,58640.85,5,2
596,55,1713.83,69155.9,6,4
597,40,1684.81,63657.58,5,3
598,38,1670.54,40846.03,6,3
599,38,844.35,21246.13,7,6
600,56,670.98,31108.53,2,1
601,48,2023.24,74355.13,5,0
602,42,2860.25,131852.25,8,3
603,17,1569.85,48895.11,2,1
604,8,2242.76,86193.59,5,0
605,6,2587.41,92396.11,2,0
606,38,1205.3,35645.11,2,1
607,45,1984.02,67650.03,4,3
608,15,1466.78,51447.03,8,5
609,48,3284.9,85483.26,6,1
610,49,3249.97,95712.56,5,4
611,34,1206.13,52758.7,5,3
612,18,2308.71,109602.77,2,2
613,17,2854.08,87888.02,6,2
614,36,2678.66,78241.54,2,1
615,51,2065.25,53398.94,3,3
616,7,3045.25,122890.09,4,3
617,56,1276.39,37899.78,10,6
618,55,1757.53,87230.37,5,2
619,40,1297.89,38638.77,5,2
620,28,2625.99,83569.87,3,2
621,22,1533.89,58441.27,3,2
622,31,1863.0,82066.16,6,3
623,13,2494.14,85014.03,6,3
624,34,2558.6,83614.23,4,2
625,31,1274.3,63548.19,5,3
626,15,2845.32,57802.22,5,2
627,31,2364.55,110783.88,5,1
628,39,1134.64,27769.38,4,1
629,56,937.83,40868.41,4,2
630,46,1987.34,76588.17,4,1
631,12,2680.08,81086.8,4,3
632,9,2700.57,124810.34,6,3
633,58,2284.93,46583.43,3,1
634,55,2038.94,54645.06,6,4
635,50,2409.39,89163.78,6,4
636,16,1315.74,40190.81,4,2
637,34,3349.59,128327.24,8,2
638,41,3339.15,69198.24,6,5
639,30,2343.05,55047.07,3,2
640,26,2157.84,51384.41,10,5
641,41,1670.86,42905.28,6,3
642,15,2423.0,81848.77,8,3
643,42,1446.95,61587.61,3,1
644,14,300.0,14149.85,5,3
645,29,300.0,13518.35,1,0
646,40,1360.4,35243.42,5,3
647,54,2125.1,70626.75,3,1
648,40,2265.58,58865.02,2,0
649,53,1610.59,44990.59,4,1
650,41,2113.47,74196.28,7,5
651,23,1780.62,39250.63,0,0
652,54,1200.55,31868.87,4,3
653,44,1957.0,94056.26,3,1
654,37,2650.37,90068.67,9,2
655,29,1236.75,41259.97,4,3
656,28,1237.12,25282.96,7,4
657,37,1144.6,31387.2,2,0
658,42,450.79,20731.05,2,1
659,17,1615.84,40297.15,7,4
660,54,2571.27,83447.31,4,1
661,60,2139.13,43702.33,7,4
662,18,1864.6,64049.11,6,5
663,28,2103.25,43391.42,5,1
664,30,1608.81,71734.3,6,2
665,40,441.69,19763.72,5,3
666,46,2626.98,114620.87,2,1
667,35,2856.9,81424.27,6,3
668,22,1417.47,63952.37,3,2
669,54,1879.33,68200.83,4,3
670,25,1810.4,56510.29,3,1
671,53,2281.03,88412.53,2,0
672,30,3351.91,68279.28,5,3
673,27,2927.83,71113.63,1,0
674,18,1698.47,71792.24,2,1
675,24,2433.97,66507.89,1,0
676,54,3003.49,113953.06,7,2
677,41,2326.68,73413.79,4,1
678,17,1996.24,91116.75,3,1
679,46,2356.8,114475.58,3,1
680,24,1437.38,66848.28,1,0
681,17,1554.18,43701.23,1,1
682,14,1148.77,29666.92,4,0
683,12,2245.65,76875.5,3,2
684,33,1894.88,38314.47,5,3
685,19,1341.51,27868.81,5,2
686,36,1868.66,68390.43,4,3
687,57,2376.0,84617.58,3,2
688,24,3531.77,176014.44,1,1
689,52,2809.65,73206.26,5,3
690,21,300.0,10000.0,1,0
691,58,2191.45,51293.48,2,0
692,10,3143.46,149396.96,5,1
693,40,929.7,40287.99,7,4
694,17,2441.25,109050.95,5,4
695,30,1810.69,85252.38,3,0
696,57,2920.23,104389.55,8,7
697,26,2323.41,77917.26,3,3
698,41,1292.79,38669.53,6,3
699,58,1839.32,69298.98,6,4
700,28,1886.64,63444.71,6,2
701,21,1901.46,63788.13,4,3
702,44,2895.41,139291.93,4,1
703,50,1325.9,65660.02,5,3
704,58,2802.44,123011.84,1,1
705,47,1758.2,75079.97,2,1
706,44,2178.81,88060.36,4,2
707,19,2057.9,51411.01,6,2
708,36,1982.56,43166.53,2,2
709,10,1989.12,81000.43,2,2
710,40,3165.89,132535.38,5,3
711,28,2673.96,57247.32,6,3
712,34,1709.83,81800.8,6,4
713,48,3266.23,74255.18,4,3
714,16,2219.74,63433.68,5,2
715,23,2286.1,91836.49,2,1
716,52,1330.14,33381.55,3,2
717,17,1602.0,34703.31,9,4
718,14,1449.2,43380.84,2,1
719,15,2068.86,88917.77,3,2
720,49,2511.03,81383.27,2,1
721,22,2293.79,90809.12,3,1
722,43,3270.44,122276.91,4,2
723,12,1289.79,26655.59,3,1
724,51,2091.9,103875.57,5,4
725,18,973.65,20683.06,2,1
726,45,1262.5,61905.69,5,2
727,47,3011.66,109913.42,2,1
728,14,1629.47,79672.47,4,4
729,55,1357.31,31818.86,4,3
730,32,300.0,10413.68,5,1
731,7,1349.32,33847.76,3,2
732,10,1835.78,39522.87,1,0
733,34,914.08,35215.64,3,3
734,42,1789.77,46952.02,6,3
735,43,3016.5,113513.82,5,2
736,24,1434.16,33517.56,6,4
737,13,1245.29,37308.49,2,2
738,53,1100.88,47832.06,3,3
739,50,1086.59,35978.63,3,1
740,6,2428.46,94302.91,3,1
741,27,2038.93,80382.44,4,4
742,57,2765.49,125311.48,6,3
743,22,3615.87,107563.77,3,1
744,12,535.69,21759.0,3,2
745,30,2304.06,112549.96,3,1
746,50,1105.1,46311.95,3,1
747,9,2631.12,91289.62,4,1
748,41,1782.47,69376.46,2,0
749,11,2021.86,85303.18,5,3
750,36,973.46,37349.9,3,1
751,24,1658.86,34007.05,5,3
752,49,2071.73,53540.14,2,2
753,59,3084.86,136702.74,2,1
754,44,1364.35,38446.77,8,5
755,32,1559.45,65413.9,4,0
756,15,2755.43,85869.19,7,6
757,31,1312.53,46800.19,5,2
758,24,2913.91,64220.2,6,2
759,44,1992.73,50688.63,2,0
760,8,2242.5,109245.35,4,3
761,50,2294.02,107140.13,1,0
762,18,1507.02,59630.29,6,1
763,55,2311.91,78117.89,2,0
764,33,1382.1,55661.26,3,2
765,25,1598.32,61628.42,0,0
766,33,2446.95,90675.67,3,2
767,13,2234.72,48661.62,3,2
768,46,1940.03,75630.21,4,2
769,44,993.01,42766.76,4,2
770,6,1192.67,59421.91,5,5
771,8,2221.37,45165.63,1,1
772,18,2585.71,108354.81,10,3
773,33,1112.28,41325.43,1,1
774,54,1328.14,43857.26,5,1
775,30,2107.35,50212.01,2,1
